game_id,turns,w_ctrld_pawn,w_ctrld_knight,w_ctrld_bishop,w_ctrld_rook,w_ctrld_queen,w_ctrld_king,w_preassure_points,w_ctrld_diagonals,w_ctrld_lines,b_ctrld_pawn,b_ctrld_knight,b_ctrld_bishop,b_ctrld_rook,b_ctrld_queen,b_ctrld_king,b_preassure_points,b_ctrld_diagonals,b_ctrld_lines,rated_cod,winner_cod,current_turn_cod,time_increment_cod,opening_code_cod,opening_fullname_cod,opening_shortname_cod,opening_variation_cod,moves_fen_cod
17486,59,8,0,10,13,11,3,8,6,4,8,0,0,0,3,0,7,1,2,1,1,0,19,11,240,33,122,1357
17487,66,9,4,0,6,0,2,3,0,2,8,16,0,12,0,5,7,0,3,1,0,1,102,70,134,17,231,5015
17488,72,7,0,0,1,0,4,3,0,6,4,0,9,9,0,3,3,4,2,1,0,1,19,151,348,38,280,8375
17489,89,8,7,5,0,0,7,2,2,0,10,0,9,0,0,5,2,3,0,1,1,0,19,116,1202,109,155,9343
17490,98,5,0,0,0,0,0,1,0,1,9,0,0,11,17,3,6,2,6,0,0,1,310,94,1201,109,141,9388
17491,32,10,0,13,8,15,1,11,6,5,8,3,2,7,11,1,6,1,5,1,1,1,19,209,1053,102,147,12666
17492,37,9,5,6,13,12,2,15,3,4,9,0,0,0,0,0,7,4,2,1,1,0,19,128,1222,109,164,14339
17493,47,11,6,0,7,0,3,2,0,3,8,0,0,0,0,5,5,1,3,1,1,0,306,219,1073,102,354,3870
17494,113,3,7,0,14,21,4,10,4,7,2,0,0,0,0,1,1,0,0,0,1,0,310,214,1022,102,76,9795
17495,45,10,0,4,5,11,4,7,4,3,10,0,8,6,9,2,6,3,6,1,0,0,19,116,1172,109,608,2429
17496,113,2,0,0,12,7,5,3,1,5,4,0,0,0,0,2,1,0,4,1,1,0,355,77,797,84,3,724
17497,66,8,0,9,5,0,4,4,2,1,9,0,3,8,13,3,9,3,4,1,0,1,355,240,175,22,0,6454
17498,64,7,5,7,19,0,5,7,3,3,7,6,6,6,14,2,11,4,4,1,0,1,306,346,598,58,195,1010
17499,54,6,8,0,10,0,0,5,0,3,7,0,8,17,0,6,10,1,5,1,0,1,306,109,1244,109,254,3797
17500,22,12,0,0,0,0,2,8,2,4,12,5,8,3,13,5,12,6,4,1,0,1,355,151,349,38,289,12313
17501,73,7,8,0,12,0,4,4,0,3,5,0,0,0,0,4,1,0,0,1,1,0,355,70,744,74,295,9946
17502,51,8,0,1,12,16,3,8,3,6,8,0,8,8,0,1,4,3,2,1,1,0,306,112,1226,109,194,5116
